ó^Ç¶ÇΩèdóvìx,0.280000,0.420000,0.220000,0.340000,0.180000,0.260000,0.120000,0.180000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],ãÊä‘ïùÇÃëçòa
111,0.402427, 0.444747,0.211793, 0.242295,0.211793, 0.242295,0.103453, 0.141196,0.141066
112,0.242639, 0.443653,0.142140, 0.343146,0.142133, 0.343144,0.091882, 0.251264,0.762412
113,0.402427, 0.444747,0.211793, 0.242295,0.211793, 0.242295,0.103453, 0.141196,0.141066
114,0.218378, 0.461594,0.181353, 0.393328,0.171942, 0.302071,0.128667, 0.142666,0.599319
115,0.345171, 0.356657,0.345171, 0.356657,0.175457, 0.202660,0.095512, 0.122714,0.077377
116,0.280368, 0.343664,0.262088, 0.298647,0.262088, 0.298647,0.095601, 0.158897,0.199711
117,0.285416, 0.450039,0.130374, 0.269575,0.209399, 0.354357,0.100737, 0.200103,0.548148
118,0.280849, 0.398566,0.180161, 0.297879,0.274475, 0.287222,0.124788, 0.156060,0.279454
119,0.320552, 0.451080,0.211334, 0.337021,0.208347, 0.244995,0.095577, 0.131094,0.328379
120,0.215322, 0.340219,0.304188, 0.427525,0.195747, 0.269369,0.107359, 0.140270,0.354767
121,0.325063, 0.351558,0.237537, 0.338311,0.154223, 0.254997,0.156750, 0.181561,0.252852
122,0.269820, 0.420826,0.197667, 0.297689,0.123352, 0.295312,0.187470, 0.207864,0.443381
123,0.280980, 0.357264,0.273733, 0.288227,0.195033, 0.290643,0.109425, 0.204696,0.281658
124,0.304188, 0.427521,0.215324, 0.340220,0.195745, 0.269372,0.107362, 0.140268,0.354764
125,0.325063, 0.351558,0.237537, 0.338311,0.154223, 0.254997,0.156750, 0.181561,0.252852
126,0.344665, 0.445742,0.222871, 0.241502,0.222871, 0.241502,0.108516, 0.172332,0.202155
127,0.296200, 0.484848,0.195262, 0.357027,0.154932, 0.235591,0.073936, 0.202204,0.559340
128,0.344369, 0.486607,0.207744, 0.377442,0.131628, 0.238272,0.075442, 0.138496,0.481634
129,0.237528, 0.338313,0.325061, 0.351566,0.154216, 0.255001,0.156749, 0.181565,0.252891
130,0.281383, 0.476221,0.155302, 0.330372,0.160748, 0.232943,0.142411, 0.220620,0.520311
131,0.400000, 0.400001,0.200000, 0.200000,0.200000, 0.200000,0.200000, 0.200000,0.000003
132,0.329973, 0.386836,0.244679, 0.358405,0.179202, 0.280922,0.100514, 0.119468,0.291262
133,0.285714, 0.285715,0.285714, 0.285715,0.285714, 0.285715,0.142857, 0.142857,0.000003
134,0.280849, 0.398566,0.274475, 0.287222,0.180161, 0.297879,0.124788, 0.156060,0.279454
135,0.274469, 0.287225,0.280847, 0.398576,0.180154, 0.297883,0.124785, 0.156061,0.279491
136,0.208009, 0.413090,0.177060, 0.406866,0.159467, 0.317967,0.052548, 0.264992,0.805830
137,0.346127, 0.490191,0.209079, 0.332337,0.147892, 0.233376,0.083336, 0.157663,0.427133
138,0.304188, 0.427521,0.195745, 0.269372,0.215324, 0.340220,0.107362, 0.140268,0.354764
139,0.321631, 0.338363,0.321631, 0.338363,0.164999, 0.234165,0.105841, 0.175007,0.171796
140,0.350993, 0.357014,0.350993, 0.357014,0.144341, 0.177002,0.114991, 0.147652,0.077363
141,0.356439, 0.356439,0.289756, 0.361706,0.178219, 0.208928,0.101002, 0.147511,0.149168
142,0.285416, 0.450039,0.209399, 0.354357,0.130374, 0.269575,0.100737, 0.200103,0.548148
143,0.420271, 0.431298,0.212892, 0.249575,0.172075, 0.217027,0.120652, 0.176210,0.148220
144,0.298794, 0.359081,0.235117, 0.397890,0.129766, 0.276036,0.118990, 0.184325,0.434664
145,0.237528, 0.338313,0.325061, 0.351566,0.154216, 0.255001,0.156749, 0.181565,0.252891
146,0.384203, 0.406208,0.197603, 0.280437,0.187584, 0.207621,0.126756, 0.209589,0.207711
147,0.281383, 0.476221,0.155302, 0.330372,0.160748, 0.232943,0.142411, 0.220620,0.520311
148,0.244674, 0.358407,0.329974, 0.386840,0.179203, 0.280920,0.100513, 0.119469,0.291271
149,0.344369, 0.486607,0.207744, 0.377442,0.131628, 0.238272,0.075442, 0.138496,0.481634
150,0.235104, 0.397897,0.298781, 0.359101,0.129759, 0.276035,0.118988, 0.184335,0.434735
151,0.361654, 0.414370,0.194006, 0.339577,0.171260, 0.216751,0.078405, 0.223976,0.389349
152,0.278753, 0.299974,0.203170, 0.289363,0.278753, 0.299974,0.131910, 0.218103,0.214828
153,0.326079, 0.399695,0.289271, 0.362887,0.141779, 0.184299,0.111187, 0.184803,0.263367
154,0.392275, 0.501944,0.217558, 0.307806,0.094180, 0.223555,0.111777, 0.150904,0.368419
155,0.288909, 0.328813,0.288909, 0.328813,0.172536, 0.308861,0.073417, 0.209741,0.352457
156,0.278753, 0.299974,0.203170, 0.289363,0.278753, 0.299974,0.131910, 0.218103,0.214828
157,0.344665, 0.445742,0.222871, 0.241502,0.222871, 0.241502,0.108516, 0.172332,0.202155
158,0.285416, 0.450039,0.209399, 0.354357,0.130374, 0.269575,0.100737, 0.200103,0.548148
159,0.402427, 0.444747,0.211793, 0.242295,0.211793, 0.242295,0.103453, 0.141196,0.141066
160,0.335627, 0.454779,0.227390, 0.328745,0.158916, 0.167814,0.158916, 0.167814,0.238304
161,0.237528, 0.338313,0.325061, 0.351566,0.154216, 0.255001,0.156749, 0.181565,0.252891
162,0.370472, 0.479252,0.212431, 0.327703,0.105814, 0.216759,0.141621, 0.145948,0.339324
163,0.313059, 0.347116,0.225278, 0.351373,0.165044, 0.248568,0.102999, 0.246563,0.387240
164,0.242639, 0.443653,0.142140, 0.343146,0.142133, 0.343144,0.091882, 0.251264,0.762412
165,0.329973, 0.386836,0.244679, 0.358405,0.179202, 0.280922,0.100514, 0.119468,0.291262
166,0.281383, 0.476221,0.155302, 0.330372,0.160748, 0.232943,0.142411, 0.220620,0.520311
167,0.325063, 0.351558,0.237537, 0.338311,0.154223, 0.254997,0.156750, 0.181561,0.252852
168,0.276484, 0.467036,0.183271, 0.283765,0.150945, 0.331773,0.093213, 0.213514,0.592174
169,0.345171, 0.356657,0.345171, 0.356657,0.175457, 0.202660,0.095512, 0.122714,0.077377
170,0.278753, 0.299974,0.278753, 0.299974,0.203170, 0.289363,0.131910, 0.218103,0.214828
171,0.296200, 0.484848,0.195262, 0.357027,0.154932, 0.235591,0.073936, 0.202204,0.559340
172,0.348584, 0.507531,0.181020, 0.284545,0.114095, 0.214029,0.136168, 0.214029,0.440266
173,0.235104, 0.397897,0.298781, 0.359101,0.129759, 0.276035,0.118988, 0.184335,0.434735
174,0.415731, 0.415731,0.164989, 0.309524,0.133324, 0.261403,0.091432, 0.207865,0.389047
175,0.347643, 0.371479,0.206583, 0.363120,0.176759, 0.220157,0.101098, 0.213163,0.335835
176,0.278753, 0.299974,0.203170, 0.289363,0.278753, 0.299974,0.131910, 0.218103,0.214828
177,0.235104, 0.397897,0.298781, 0.359101,0.129759, 0.276035,0.118988, 0.184335,0.434735
178,0.206987, 0.480069,0.183224, 0.438987,0.098430, 0.299645,0.088808, 0.203849,0.845101
179,0.356439, 0.356439,0.289756, 0.361706,0.178219, 0.208928,0.101002, 0.147511,0.149168
180,0.325063, 0.351558,0.237537, 0.338311,0.154223, 0.254997,0.156750, 0.181561,0.252852
181,0.313059, 0.347116,0.225278, 0.351373,0.165044, 0.248568,0.102999, 0.246563,0.387240
182,0.344665, 0.445742,0.222871, 0.241502,0.222871, 0.241502,0.108516, 0.172332,0.202155
183,0.280980, 0.357264,0.273733, 0.288227,0.195033, 0.290643,0.109425, 0.204696,0.281658
184,0.420271, 0.431298,0.212892, 0.249575,0.172075, 0.217027,0.120652, 0.176210,0.148220
185,0.400000, 0.400001,0.200000, 0.200000,0.200000, 0.200000,0.200000, 0.200000,0.000003
186,0.276484, 0.467036,0.183271, 0.283765,0.150945, 0.331773,0.093213, 0.213514,0.592174
187,0.263023, 0.349870,0.253025, 0.413569,0.174503, 0.295304,0.091804, 0.158902,0.435291
188,0.304188, 0.427521,0.215324, 0.340220,0.195745, 0.269372,0.107362, 0.140268,0.354764
189,0.280849, 0.398566,0.274475, 0.287222,0.180161, 0.297879,0.124788, 0.156060,0.279454
190,0.280849, 0.398566,0.274475, 0.287222,0.180161, 0.297879,0.124788, 0.156060,0.279454
191,0.242639, 0.443653,0.150543, 0.334734,0.142140, 0.343146,0.091882, 0.251264,0.745593
192,0.402427, 0.444747,0.211793, 0.242295,0.211793, 0.242295,0.103453, 0.141196,0.141066
193,0.262081, 0.298653,0.280367, 0.343664,0.262081, 0.298653,0.095601, 0.158899,0.199737
194,0.420271, 0.431298,0.212892, 0.249575,0.172075, 0.217027,0.120652, 0.176210,0.148220
195,0.280368, 0.343664,0.262088, 0.298647,0.262088, 0.298647,0.095601, 0.158897,0.199711
196,0.273737, 0.288220,0.280978, 0.357258,0.195043, 0.290634,0.109430, 0.204699,0.281622
197,0.285416, 0.450039,0.209399, 0.354357,0.130374, 0.269575,0.100737, 0.200103,0.548148
198,0.365793, 0.405586,0.155213, 0.328071,0.127467, 0.280977,0.122205, 0.214688,0.458644
199,0.285714, 0.285715,0.285714, 0.285715,0.285714, 0.285715,0.142857, 0.142857,0.000003
200,0.285714, 0.285715,0.285714, 0.285715,0.285714, 0.285715,0.142857, 0.142857,0.000003
201,0.285416, 0.450039,0.209399, 0.354357,0.130374, 0.269575,0.100737, 0.200103,0.548148
202,0.346127, 0.490191,0.209079, 0.332337,0.147892, 0.233376,0.083336, 0.157663,0.427133
203,0.272197, 0.451512,0.177359, 0.332723,0.187539, 0.356854,0.050535, 0.171281,0.624740
204,0.287920, 0.405161,0.199634, 0.292899,0.187646, 0.219547,0.187646, 0.219547,0.274307
205,0.280849, 0.398566,0.274475, 0.287222,0.180161, 0.297879,0.124788, 0.156060,0.279454
206,0.402427, 0.444747,0.211793, 0.242295,0.211793, 0.242295,0.103453, 0.141196,0.141066
207,0.287920, 0.405161,0.187646, 0.219547,0.199634, 0.292899,0.187646, 0.219547,0.274307
208,0.325063, 0.351558,0.237537, 0.338311,0.154223, 0.254997,0.156750, 0.181561,0.252852
209,0.280849, 0.398566,0.180161, 0.297879,0.274475, 0.287222,0.124788, 0.156060,0.279454
210,0.280849, 0.398566,0.274475, 0.287222,0.180161, 0.297879,0.124788, 0.156060,0.279454
