ó^Ç¶ÇΩèdóvìx,0.320000,0.380000,0.240000,0.320000,0.160000,0.280000,0.080000,0.220000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],ãÊä‘ïùÇÃëçòa
140,0.322344, 0.402930,0.322344, 0.402930,0.131868, 0.175824,0.080586, 0.161172,0.285714
141,0.324324, 0.405405,0.294840, 0.353808,0.162162, 0.216216,0.081081, 0.162162,0.275184
142,0.257449, 0.411918,0.222342, 0.355748,0.150509, 0.301017,0.075254, 0.225763,0.588892
143,0.251945, 0.419909,0.227245, 0.340867,0.144868, 0.289737,0.083982, 0.241447,0.583920
144,0.250863, 0.439011,0.220931, 0.353489,0.149553, 0.299106,0.062716, 0.224330,0.631873
145,0.238365, 0.317821,0.254257, 0.381385,0.136209, 0.272418,0.127128, 0.272418,0.488082
146,0.251945, 0.419909,0.227245, 0.340867,0.144868, 0.289737,0.083982, 0.241447,0.583920
147,0.260902, 0.417443,0.187849, 0.328736,0.134178, 0.335445,0.067089, 0.268356,0.699963
148,0.257324, 0.343099,0.281649, 0.394308,0.145157, 0.290315,0.070412, 0.217736,0.490915
149,0.363636, 0.363636,0.363636, 0.363636,0.181818, 0.181818,0.090909, 0.090909,0.000000
150,0.220931, 0.353489,0.250863, 0.439011,0.149553, 0.299106,0.062716, 0.224330,0.631873
151,0.352423, 0.484581,0.176211, 0.281938,0.176211, 0.308370,0.044053, 0.176211,0.502203
152,0.156863, 0.470588,0.156863, 0.392157,0.117647, 0.313725,0.078431, 0.313725,0.980392
153,0.325879, 0.380192,0.325879, 0.380192,0.143770, 0.172524,0.108626, 0.162939,0.191693
154,0.391928, 0.489910,0.199026, 0.318441,0.108559, 0.217119,0.079610, 0.195407,0.441754
155,0.230769, 0.403846,0.230769, 0.384615,0.177515, 0.284024,0.057692, 0.230769,0.606509
156,0.239544, 0.425856,0.205323, 0.342205,0.136882, 0.273764,0.102662, 0.273764,0.631179
157,0.338573, 0.435308,0.188634, 0.314389,0.188634, 0.282950,0.062878, 0.188634,0.442563
158,0.257449, 0.411918,0.222342, 0.355748,0.150509, 0.301017,0.075254, 0.225763,0.588892
159,0.444444, 0.444444,0.222222, 0.222222,0.222222, 0.222222,0.111111, 0.111111,0.000000
160,0.317881, 0.370861,0.317881, 0.357616,0.158940, 0.211921,0.105960, 0.158940,0.198675
161,0.227245, 0.340867,0.251945, 0.419909,0.144868, 0.289737,0.083982, 0.241447,0.583920
162,0.324963, 0.389956,0.324963, 0.406204,0.132939, 0.177253,0.081241, 0.162482,0.271787
163,0.264264, 0.462462,0.210210, 0.336336,0.132132, 0.264264,0.066066, 0.264264,0.654655
164,0.252570, 0.432977,0.134017, 0.301537,0.196350, 0.349066,0.065450, 0.268033,0.703228
165,0.281649, 0.394308,0.257324, 0.343099,0.145157, 0.290315,0.070412, 0.217736,0.490915
166,0.260902, 0.417443,0.187849, 0.328736,0.134178, 0.335445,0.067089, 0.268356,0.699963
167,0.251945, 0.419909,0.227245, 0.340867,0.144868, 0.289737,0.083982, 0.241447,0.583920
168,0.260902, 0.417443,0.134178, 0.335445,0.187849, 0.328736,0.067089, 0.268356,0.699963
169,0.348055, 0.377060,0.336190, 0.358603,0.174028, 0.203032,0.087014, 0.116018,0.109426
170,0.235294, 0.352941,0.235294, 0.352941,0.201681, 0.268908,0.117647, 0.235294,0.420168
171,0.386168, 0.489145,0.204117, 0.294836,0.105838, 0.211677,0.096542, 0.211677,0.414670
172,0.396367, 0.554913,0.123865, 0.247729,0.099092, 0.247729,0.110102, 0.220204,0.541151
173,0.215609, 0.359349,0.248780, 0.447804,0.151600, 0.303200,0.049756, 0.223902,0.668509
174,0.255814, 0.447674,0.203488, 0.325581,0.127907, 0.319767,0.063953, 0.255814,0.697674
175,0.255489, 0.468397,0.195609, 0.335329,0.127745, 0.319361,0.042582, 0.255489,0.757152
176,0.235294, 0.392157,0.188235, 0.282353,0.235294, 0.352941,0.078431, 0.235294,0.525490
177,0.220931, 0.353489,0.250863, 0.439011,0.149553, 0.299106,0.062716, 0.224330,0.631873
178,0.271542, 0.465500,0.144683, 0.337593,0.083645, 0.334578,0.055763, 0.306697,0.888736
179,0.320000, 0.426667,0.280000, 0.360000,0.160000, 0.240000,0.053333, 0.160000,0.373333
180,0.254257, 0.381385,0.238365, 0.317821,0.136209, 0.272418,0.127128, 0.272418,0.488082
181,0.259635, 0.475997,0.198783, 0.340771,0.129817, 0.292089,0.043272, 0.259635,0.736984
182,0.357782, 0.500894,0.193202, 0.322004,0.107335, 0.214669,0.089445, 0.214669,0.504472
183,0.232558, 0.372093,0.232558, 0.406977,0.178891, 0.286225,0.058140, 0.232558,0.595707
184,0.322870, 0.403587,0.322870, 0.419731,0.125561, 0.179372,0.064574, 0.161435,0.328251
185,0.400000, 0.400000,0.200000, 0.200000,0.200000, 0.200000,0.200000, 0.200000,0.000000
186,0.253790, 0.422983,0.221105, 0.353768,0.149671, 0.299342,0.074835, 0.224506,0.601198
187,0.226039, 0.339059,0.274476, 0.396466,0.144100, 0.288200,0.091492, 0.240167,0.527784
188,0.320000, 0.426667,0.280000, 0.360000,0.160000, 0.240000,0.053333, 0.160000,0.373333
