ó^Ç¶ÇΩèdóvìx,0.250000,0.350000,0.200000,0.300000,0.150000,0.250000,0.100000,0.200000,0.050000,0.150000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],ãÊä‘ïùÇÃëçòa
184,0.204858, 0.397054,0.141234, 0.286169,0.197196, 0.284936,0.096131, 0.186338,0.063395, 0.142688,0.594372
185,0.264373, 0.410204,0.146277, 0.347917,0.124007, 0.238640,0.050137, 0.213342,0.077006, 0.128097,0.676401
186,0.205034, 0.415809,0.137995, 0.306731,0.216566, 0.281034,0.080064, 0.195925,0.022847, 0.137995,0.674987
187,0.145985, 0.385789,0.171559, 0.391480,0.145455, 0.280470,0.088629, 0.176031,0.068032, 0.146570,0.760679
188,0.171985, 0.464298,0.078785, 0.405677,0.055531, 0.354705,0.052264, 0.156654,0.054359, 0.205742,1.174151
189,0.292268, 0.329182,0.310725, 0.347639,0.117691, 0.188941,0.077262, 0.150156,0.076409, 0.109727,0.251290
190,0.193273, 0.275140,0.245359, 0.289967,0.245359, 0.289967,0.115202, 0.223054,0.055764, 0.066916,0.290088
191,0.101162, 0.317369,0.209266, 0.451432,0.084016, 0.335510,0.078093, 0.255397,0.005813, 0.161943,1.043301
192,0.249490, 0.424555,0.150892, 0.337023,0.093203, 0.227678,0.005073, 0.335105,0.016539, 0.160441,0.969604
193,0.248639, 0.295039,0.248639, 0.295039,0.120915, 0.195719,0.173249, 0.279377,0.048492, 0.094893,0.320132
194,0.284496, 0.457992,0.162727, 0.369668,0.122001, 0.248072,0.043035, 0.146628,0.061746, 0.103635,0.651990
195,0.190302, 0.441613,0.175740, 0.426831,0.072130, 0.280435,0.127255, 0.145478,0.069157, 0.071061,0.730834
196,0.246915, 0.444039,0.156745, 0.324800,0.131811, 0.234630,0.078511, 0.139729,0.091539, 0.151282,0.588959
197,0.199620, 0.382479,0.145525, 0.293836,0.145535, 0.293826,0.099820, 0.191239,0.102597, 0.145525,0.613809
198,0.247886, 0.378668,0.143131, 0.381848,0.168995, 0.236416,0.055048, 0.236416,0.048094, 0.103499,0.673692
199,0.227469, 0.436299,0.124341, 0.330851,0.151827, 0.284472,0.009801, 0.221340,0.000001, 0.213601,0.973123
200,0.277505, 0.453646,0.168316, 0.310256,0.148897, 0.153534,0.144452, 0.180779,0.072226, 0.090389,0.377209
201,0.060806, 0.479302,0.039930, 0.405431,0.136667, 0.363478,0.072305, 0.270054,0.000001, 0.172027,1.380584
202,0.260848, 0.389566,0.142916, 0.376243,0.135209, 0.325207,0.065565, 0.152223,0.054447, 0.097776,0.682029
203,0.326707, 0.423125,0.138726, 0.208852,0.173789, 0.287995,0.114622, 0.187458,0.051832, 0.086895,0.388648
204,0.215995, 0.506775,0.146097, 0.326249,0.113374, 0.292193,0.056020, 0.236173,0.016778, 0.090346,0.903471
205,0.239124, 0.265928,0.179620, 0.429442,0.096113, 0.327829,0.118762, 0.171416,0.045504, 0.126263,0.641753
206,0.237681, 0.401286,0.237250, 0.263261,0.182737, 0.255587,0.063395, 0.209682,0.048428, 0.100693,0.461016
207,0.259969, 0.410282,0.189105, 0.319047,0.155399, 0.254340,0.084726, 0.163457,0.055888, 0.107788,0.509827
208,0.177668, 0.245600,0.211634, 0.279566,0.164577, 0.338166,0.128572, 0.279735,0.051398, 0.123085,0.532304
209,0.150071, 0.348692,0.199493, 0.369960,0.101159, 0.275686,0.146883, 0.223077,0.073442, 0.111538,0.657905
210,0.192762, 0.374976,0.148893, 0.335928,0.236823, 0.269952,0.109815, 0.160138,0.022321, 0.148393,0.578774
211,0.186969, 0.385080,0.197103, 0.424774,0.155469, 0.293278,0.071329, 0.155469,0.036343, 0.094185,0.705573
212,0.191286, 0.453422,0.152639, 0.326274,0.063485, 0.298995,0.108758, 0.249160,0.042486, 0.113495,0.882691
213,0.178788, 0.251121,0.201534, 0.381734,0.156520, 0.216446,0.110021, 0.302301,0.075280, 0.126254,0.555714
214,0.210331, 0.426544,0.126716, 0.360278,0.163073, 0.318438,0.019494, 0.233939,0.014470, 0.126716,0.931830
215,0.294407, 0.412861,0.192310, 0.331006,0.183728, 0.206430,0.097540, 0.108891,0.052814, 0.120014,0.358404
